config_id,v_sat,v_dep_sat,v_col_sat,kappa,n,width_crab_sat,width_crab_byz_sat,width_crab_p125_sat,width_crab_p150_sat,width_crab_p200_sat,c_star_sat,width_crabhe_cstar_minus_eps,width_crabhe_cstar,width_crabhe_cstar_plus_eps,c_n_star_sat,he_condition_valid,he_condition_reason,mad_standalone_width_sat,he_standalone_margin_sat,elapsed_micros
dep0.010-col0.50-k3-n1,2000000,20000,10000,3,1,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2020000,true,valid,10000,0,0
dep0.010-col0.50-k3-n3,2000000,20000,10000,3,3,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2060000,true,valid,10000,0,0
dep0.010-col0.50-k3-n5,2000000,20000,10000,3,5,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2100000,true,valid,10000,0,0
dep0.010-col0.50-k3-n7,2000000,20000,10000,3,7,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2140000,true,valid,10000,0,0
dep0.010-col0.50-k5-n1,2000000,20000,10000,5,1,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2020000,true,valid,10000,5000,0
dep0.010-col0.50-k5-n3,2000000,20000,10000,5,3,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2060000,true,valid,10000,5000,0
dep0.010-col0.50-k5-n5,2000000,20000,10000,5,5,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2100000,true,valid,10000,5000,0
dep0.010-col0.50-k5-n7,2000000,20000,10000,5,7,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2140000,true,valid,10000,5000,0
dep0.010-col0.50-k7-n1,2000000,20000,10000,7,1,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2020000,true,valid,10000,6666,0
dep0.010-col0.50-k7-n3,2000000,20000,10000,7,3,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2060000,true,valid,10000,6666,0
dep0.010-col0.50-k7-n5,2000000,20000,10000,7,5,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2100000,true,valid,10000,6666,0
dep0.010-col0.50-k7-n7,2000000,20000,10000,7,7,2010000,2010000,2010000,2010000,2010000,2020000,1000,0,-1000,2140000,true,valid,10000,6666,0
dep0.010-col0.75-k3-n1,2000000,20000,15000,3,1,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2020000,true,valid,5000,5000,0
dep0.010-col0.75-k3-n3,2000000,20000,15000,3,3,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2060000,true,valid,5000,5000,0
dep0.010-col0.75-k3-n5,2000000,20000,15000,3,5,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2100000,true,valid,5000,5000,0
dep0.010-col0.75-k3-n7,2000000,20000,15000,3,7,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2140000,true,valid,5000,5000,0
dep0.010-col0.75-k5-n1,2000000,20000,15000,5,1,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2020000,true,valid,5000,10000,0
dep0.010-col0.75-k5-n3,2000000,20000,15000,5,3,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2060000,true,valid,5000,10000,0
dep0.010-col0.75-k5-n5,2000000,20000,15000,5,5,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2100000,true,valid,5000,10000,0
dep0.010-col0.75-k5-n7,2000000,20000,15000,5,7,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2140000,true,valid,5000,10000,0
dep0.010-col0.75-k7-n1,2000000,20000,15000,7,1,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2020000,true,valid,5000,11666,0
dep0.010-col0.75-k7-n3,2000000,20000,15000,7,3,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2060000,true,valid,5000,11666,0
dep0.010-col0.75-k7-n5,2000000,20000,15000,7,5,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2100000,true,valid,5000,11666,0
dep0.010-col0.75-k7-n7,2000000,20000,15000,7,7,2005000,2005000,2005000,2005000,2005000,2020000,1000,0,-1000,2140000,true,valid,5000,11666,0
dep0.010-col1.00-k3-n1,2000000,20000,20000,3,1,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2020000,true,valid,0,10000,0
dep0.010-col1.00-k3-n3,2000000,20000,20000,3,3,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2060000,true,valid,0,10000,0
dep0.010-col1.00-k3-n5,2000000,20000,20000,3,5,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2100000,true,valid,0,10000,0
dep0.010-col1.00-k3-n7,2000000,20000,20000,3,7,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2140000,true,valid,0,10000,0
dep0.010-col1.00-k5-n1,2000000,20000,20000,5,1,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2020000,true,valid,0,15000,0
dep0.010-col1.00-k5-n3,2000000,20000,20000,5,3,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2060000,true,valid,0,15000,0
dep0.010-col1.00-k5-n5,2000000,20000,20000,5,5,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2100000,true,valid,0,15000,0
dep0.010-col1.00-k5-n7,2000000,20000,20000,5,7,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2140000,true,valid,0,15000,0
dep0.010-col1.00-k7-n1,2000000,20000,20000,7,1,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2020000,true,valid,0,16666,0
dep0.010-col1.00-k7-n3,2000000,20000,20000,7,3,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2060000,true,valid,0,16666,0
dep0.010-col1.00-k7-n5,2000000,20000,20000,7,5,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2100000,true,valid,0,16666,0
dep0.010-col1.00-k7-n7,2000000,20000,20000,7,7,2000000,2000000,2000000,2000000,2000000,2020000,1000,0,-1000,2140000,true,valid,0,16666,0
dep0.025-col0.50-k3-n1,2000000,50000,25000,3,1,2025000,2025000,2025000,2025000,2025000,2050000,1000,0,-1000,2050000,true,valid,25000,0,0
dep0.025-col0.50-k3-n3,2000000,50000,25000,3,3,2025000,2025000,2025000,2025000,2025000,2050000,1000,0,-1000,2150000,true,valid,25000,0,0
dep0.025-col0.50-k3-n5,2000000,50000,25000,3,5,2025000,2025000,2025000,2025000,2025000,2050000,1000,0,-1000,2250000,true,valid,25000,0,0
dep0.025-col0.50-k3-n7,2000000,50000,25000,3,7,2025000,2025000,2025000,2025000,2025000,2050000,1000,0,-1000,2350000,true,valid,25000,0,0
dep0.025-col0.50-k5-n1,2000000,50000,25000,5,1,2025000,2025000,2025000,2025000,2025000,2050000,1000,0,-1000,2050000,true,valid,25000,12500,0
dep0.025-col0.50-k5-n3,2000000,50000,25000,5,3,2025000,2025000,2025000,2025000,2025000,2050000,1000,0,-1000,2150000,true,valid,25000,12500,0
dep0.025-col0.50-k5-n5,2000000,50000,25000,5,5,2025000,2025000,2025000,2025000,2025000,2050000,1000,0,-1000,2250000,true,valid,25000,12500,0
dep0.025-col0.50-k5-n7,2000000,50000,25000,5,7,2025000,2025000,2025000,2025000,2025000,2050000,1000,0,-1000,2350000,true,valid,25000,12500,0
dep0.025-col0.50-k7-n1,2000000,50000,25000,7,1,2025000,2025000,2025000,2025000,2025000,2050000,1000,0,-1000,2050000,true,valid,25000,16666,0
dep0.025-col0.50-k7-n3,2000000,50000,25000,7,3,2025000,2025000,2025000,2025000,2025000,2050000,1000,0,-1000,2150000,true,valid,25000,16666,0
dep0.025-col0.50-k7-n5,2000000,50000,25000,7,5,2025000,2025000,2025000,2025000,2025000,2050000,1000,0,-1000,2250000,true,valid,25000,16666,0
dep0.025-col0.50-k7-n7,2000000,50000,25000,7,7,2025000,2025000,2025000,2025000,2025000,2050000,1000,0,-1000,2350000,true,valid,25000,16666,0
dep0.025-col0.75-k3-n1,2000000,50000,37500,3,1,2012500,2012500,2012500,2012500,2012500,2050000,1000,0,-1000,2050000,true,valid,12500,12500,0
dep0.025-col0.75-k3-n3,2000000,50000,37500,3,3,2012500,2012500,2012500,2012500,2012500,2050000,1000,0,-1000,2150000,true,valid,12500,12500,0
dep0.025-col0.75-k3-n5,2000000,50000,37500,3,5,2012500,2012500,2012500,2012500,2012500,2050000,1000,0,-1000,2250000,true,valid,12500,12500,0
dep0.025-col0.75-k3-n7,2000000,50000,37500,3,7,2012500,2012500,2012500,2012500,2012500,2050000,1000,0,-1000,2350000,true,valid,12500,12500,0
dep0.025-col0.75-k5-n1,2000000,50000,37500,5,1,2012500,2012500,2012500,2012500,2012500,2050000,1000,0,-1000,2050000,true,valid,12500,25000,0
dep0.025-col0.75-k5-n3,2000000,50000,37500,5,3,2012500,2012500,2012500,2012500,2012500,2050000,1000,0,-1000,2150000,true,valid,12500,25000,0
dep0.025-col0.75-k5-n5,2000000,50000,37500,5,5,2012500,2012500,2012500,2012500,2012500,2050000,1000,0,-1000,2250000,true,valid,12500,25000,0
dep0.025-col0.75-k5-n7,2000000,50000,37500,5,7,2012500,2012500,2012500,2012500,2012500,2050000,1000,0,-1000,2350000,true,valid,12500,25000,0
dep0.025-col0.75-k7-n1,2000000,50000,37500,7,1,2012500,2012500,2012500,2012500,2012500,2050000,1000,0,-1000,2050000,true,valid,12500,29166,0
dep0.025-col0.75-k7-n3,2000000,50000,37500,7,3,2012500,2012500,2012500,2012500,2012500,2050000,1000,0,-1000,2150000,true,valid,12500,29166,0
dep0.025-col0.75-k7-n5,2000000,50000,37500,7,5,2012500,2012500,2012500,2012500,2012500,2050000,1000,0,-1000,2250000,true,valid,12500,29166,0
dep0.025-col0.75-k7-n7,2000000,50000,37500,7,7,2012500,2012500,2012500,2012500,2012500,2050000,1000,0,-1000,2350000,true,valid,12500,29166,0
dep0.025-col1.00-k3-n1,2000000,50000,50000,3,1,2000000,2000000,2000000,2000000,2000000,2050000,1000,0,-1000,2050000,true,valid,0,25000,0
dep0.025-col1.00-k3-n3,2000000,50000,50000,3,3,2000000,2000000,2000000,2000000,2000000,2050000,1000,0,-1000,2150000,true,valid,0,25000,0
dep0.025-col1.00-k3-n5,2000000,50000,50000,3,5,2000000,2000000,2000000,2000000,2000000,2050000,1000,0,-1000,2250000,true,valid,0,25000,0
dep0.025-col1.00-k3-n7,2000000,50000,50000,3,7,2000000,2000000,2000000,2000000,2000000,2050000,1000,0,-1000,2350000,true,valid,0,25000,0
dep0.025-col1.00-k5-n1,2000000,50000,50000,5,1,2000000,2000000,2000000,2000000,2000000,2050000,1000,0,-1000,2050000,true,valid,0,37500,0
dep0.025-col1.00-k5-n3,2000000,50000,50000,5,3,2000000,2000000,2000000,2000000,2000000,2050000,1000,0,-1000,2150000,true,valid,0,37500,0
dep0.025-col1.00-k5-n5,2000000,50000,50000,5,5,2000000,2000000,2000000,2000000,2000000,2050000,1000,0,-1000,2250000,true,valid,0,37500,0
dep0.025-col1.00-k5-n7,2000000,50000,50000,5,7,2000000,2000000,2000000,2000000,2000000,2050000,1000,0,-1000,2350000,true,valid,0,37500,0
dep0.025-col1.00-k7-n1,2000000,50000,50000,7,1,2000000,2000000,2000000,2000000,2000000,2050000,1000,0,-1000,2050000,true,valid,0,41666,0
dep0.025-col1.00-k7-n3,2000000,50000,50000,7,3,2000000,2000000,2000000,2000000,2000000,2050000,1000,0,-1000,2150000,true,valid,0,41666,0
dep0.025-col1.00-k7-n5,2000000,50000,50000,7,5,2000000,2000000,2000000,2000000,2000000,2050000,1000,0,-1000,2250000,true,valid,0,41666,0
dep0.025-col1.00-k7-n7,2000000,50000,50000,7,7,2000000,2000000,2000000,2000000,2000000,2050000,1000,0,-1000,2350000,true,valid,0,41666,0
dep0.050-col0.50-k3-n1,2000000,100000,50000,3,1,2050000,2050000,2050000,2050000,2050000,2100000,1000,0,-1000,2100000,true,valid,50000,0,0
dep0.050-col0.50-k3-n3,2000000,100000,50000,3,3,2050000,2050000,2050000,2050000,2050000,2100000,1000,0,-1000,2300000,true,valid,50000,0,0
dep0.050-col0.50-k3-n5,2000000,100000,50000,3,5,2050000,2050000,2050000,2050000,2050000,2100000,1000,0,-1000,2500000,true,valid,50000,0,0
dep0.050-col0.50-k3-n7,2000000,100000,50000,3,7,2050000,2050000,2050000,2050000,2050000,2100000,1000,0,-1000,2700000,true,valid,50000,0,0
dep0.050-col0.50-k5-n1,2000000,100000,50000,5,1,2050000,2050000,2050000,2050000,2050000,2100000,1000,0,-1000,2100000,true,valid,50000,25000,0
dep0.050-col0.50-k5-n3,2000000,100000,50000,5,3,2050000,2050000,2050000,2050000,2050000,2100000,1000,0,-1000,2300000,true,valid,50000,25000,0
dep0.050-col0.50-k5-n5,2000000,100000,50000,5,5,2050000,2050000,2050000,2050000,2050000,2100000,1000,0,-1000,2500000,true,valid,50000,25000,0
dep0.050-col0.50-k5-n7,2000000,100000,50000,5,7,2050000,2050000,2050000,2050000,2050000,2100000,1000,0,-1000,2700000,true,valid,50000,25000,0
dep0.050-col0.50-k7-n1,2000000,100000,50000,7,1,2050000,2050000,2050000,2050000,2050000,2100000,1000,0,-1000,2100000,true,valid,50000,33333,0
dep0.050-col0.50-k7-n3,2000000,100000,50000,7,3,2050000,2050000,2050000,2050000,2050000,2100000,1000,0,-1000,2300000,true,valid,50000,33333,0
dep0.050-col0.50-k7-n5,2000000,100000,50000,7,5,2050000,2050000,2050000,2050000,2050000,2100000,1000,0,-1000,2500000,true,valid,50000,33333,0
dep0.050-col0.50-k7-n7,2000000,100000,50000,7,7,2050000,2050000,2050000,2050000,2050000,2100000,1000,0,-1000,2700000,true,valid,50000,33333,0
dep0.050-col0.75-k3-n1,2000000,100000,75000,3,1,2025000,2025000,2025000,2025000,2025000,2100000,1000,0,-1000,2100000,true,valid,25000,25000,0
dep0.050-col0.75-k3-n3,2000000,100000,75000,3,3,2025000,2025000,2025000,2025000,2025000,2100000,1000,0,-1000,2300000,true,valid,25000,25000,0
dep0.050-col0.75-k3-n5,2000000,100000,75000,3,5,2025000,2025000,2025000,2025000,2025000,2100000,1000,0,-1000,2500000,true,valid,25000,25000,0
dep0.050-col0.75-k3-n7,2000000,100000,75000,3,7,2025000,2025000,2025000,2025000,2025000,2100000,1000,0,-1000,2700000,true,valid,25000,25000,0
dep0.050-col0.75-k5-n1,2000000,100000,75000,5,1,2025000,2025000,2025000,2025000,2025000,2100000,1000,0,-1000,2100000,true,valid,25000,50000,0
dep0.050-col0.75-k5-n3,2000000,100000,75000,5,3,2025000,2025000,2025000,2025000,2025000,2100000,1000,0,-1000,2300000,true,valid,25000,50000,0
dep0.050-col0.75-k5-n5,2000000,100000,75000,5,5,2025000,2025000,2025000,2025000,2025000,2100000,1000,0,-1000,2500000,true,valid,25000,50000,0
dep0.050-col0.75-k5-n7,2000000,100000,75000,5,7,2025000,2025000,2025000,2025000,2025000,2100000,1000,0,-1000,2700000,true,valid,25000,50000,0
dep0.050-col0.75-k7-n1,2000000,100000,75000,7,1,2025000,2025000,2025000,2025000,2025000,2100000,1000,0,-1000,2100000,true,valid,25000,58333,0
dep0.050-col0.75-k7-n3,2000000,100000,75000,7,3,2025000,2025000,2025000,2025000,2025000,2100000,1000,0,-1000,2300000,true,valid,25000,58333,0
dep0.050-col0.75-k7-n5,2000000,100000,75000,7,5,2025000,2025000,2025000,2025000,2025000,2100000,1000,0,-1000,2500000,true,valid,25000,58333,0
dep0.050-col0.75-k7-n7,2000000,100000,75000,7,7,2025000,2025000,2025000,2025000,2025000,2100000,1000,0,-1000,2700000,true,valid,25000,58333,0
dep0.050-col1.00-k3-n1,2000000,100000,100000,3,1,2000000,2000000,2000000,2000000,2000000,2100000,1000,0,-1000,2100000,true,valid,0,50000,0
dep0.050-col1.00-k3-n3,2000000,100000,100000,3,3,2000000,2000000,2000000,2000000,2000000,2100000,1000,0,-1000,2300000,true,valid,0,50000,0
dep0.050-col1.00-k3-n5,2000000,100000,100000,3,5,2000000,2000000,2000000,2000000,2000000,2100000,1000,0,-1000,2500000,true,valid,0,50000,0
dep0.050-col1.00-k3-n7,2000000,100000,100000,3,7,2000000,2000000,2000000,2000000,2000000,2100000,1000,0,-1000,2700000,true,valid,0,50000,0
dep0.050-col1.00-k5-n1,2000000,100000,100000,5,1,2000000,2000000,2000000,2000000,2000000,2100000,1000,0,-1000,2100000,true,valid,0,75000,0
dep0.050-col1.00-k5-n3,2000000,100000,100000,5,3,2000000,2000000,2000000,2000000,2000000,2100000,1000,0,-1000,2300000,true,valid,0,75000,0
dep0.050-col1.00-k5-n5,2000000,100000,100000,5,5,2000000,2000000,2000000,2000000,2000000,2100000,1000,0,-1000,2500000,true,valid,0,75000,0
dep0.050-col1.00-k5-n7,2000000,100000,100000,5,7,2000000,2000000,2000000,2000000,2000000,2100000,1000,0,-1000,2700000,true,valid,0,75000,0
dep0.050-col1.00-k7-n1,2000000,100000,100000,7,1,2000000,2000000,2000000,2000000,2000000,2100000,1000,0,-1000,2100000,true,valid,0,83333,0
dep0.050-col1.00-k7-n3,2000000,100000,100000,7,3,2000000,2000000,2000000,2000000,2000000,2100000,1000,0,-1000,2300000,true,valid,0,83333,0
dep0.050-col1.00-k7-n5,2000000,100000,100000,7,5,2000000,2000000,2000000,2000000,2000000,2100000,1000,0,-1000,2500000,true,valid,0,83333,0
dep0.050-col1.00-k7-n7,2000000,100000,100000,7,7,2000000,2000000,2000000,2000000,2000000,2100000,1000,0,-1000,2700000,true,valid,0,83333,0
dep0.100-col0.50-k3-n1,2000000,200000,100000,3,1,2100000,2100000,2100000,2100000,2100000,2200000,1000,0,-1000,2200000,true,valid,100000,0,0
dep0.100-col0.50-k3-n3,2000000,200000,100000,3,3,2100000,2100000,2100000,2100000,2100000,2200000,1000,0,-1000,2600000,true,valid,100000,0,0
dep0.100-col0.50-k3-n5,2000000,200000,100000,3,5,2100000,2100000,2100000,2100000,2100000,2200000,1000,0,-1000,3000000,true,valid,100000,0,0
dep0.100-col0.50-k3-n7,2000000,200000,100000,3,7,2100000,2100000,2100000,2100000,2100000,2200000,1000,0,-1000,3400000,true,valid,100000,0,0
dep0.100-col0.50-k5-n1,2000000,200000,100000,5,1,2100000,2100000,2100000,2100000,2100000,2200000,1000,0,-1000,2200000,true,valid,100000,50000,0
dep0.100-col0.50-k5-n3,2000000,200000,100000,5,3,2100000,2100000,2100000,2100000,2100000,2200000,1000,0,-1000,2600000,true,valid,100000,50000,0
dep0.100-col0.50-k5-n5,2000000,200000,100000,5,5,2100000,2100000,2100000,2100000,2100000,2200000,1000,0,-1000,3000000,true,valid,100000,50000,0
dep0.100-col0.50-k5-n7,2000000,200000,100000,5,7,2100000,2100000,2100000,2100000,2100000,2200000,1000,0,-1000,3400000,true,valid,100000,50000,0
dep0.100-col0.50-k7-n1,2000000,200000,100000,7,1,2100000,2100000,2100000,2100000,2100000,2200000,1000,0,-1000,2200000,true,valid,100000,66666,0
dep0.100-col0.50-k7-n3,2000000,200000,100000,7,3,2100000,2100000,2100000,2100000,2100000,2200000,1000,0,-1000,2600000,true,valid,100000,66666,0
dep0.100-col0.50-k7-n5,2000000,200000,100000,7,5,2100000,2100000,2100000,2100000,2100000,2200000,1000,0,-1000,3000000,true,valid,100000,66666,0
dep0.100-col0.50-k7-n7,2000000,200000,100000,7,7,2100000,2100000,2100000,2100000,2100000,2200000,1000,0,-1000,3400000,true,valid,100000,66666,0
dep0.100-col0.75-k3-n1,2000000,200000,150000,3,1,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,2200000,true,valid,50000,50000,0
dep0.100-col0.75-k3-n3,2000000,200000,150000,3,3,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,2600000,true,valid,50000,50000,0
dep0.100-col0.75-k3-n5,2000000,200000,150000,3,5,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,3000000,true,valid,50000,50000,0
dep0.100-col0.75-k3-n7,2000000,200000,150000,3,7,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,3400000,true,valid,50000,50000,0
dep0.100-col0.75-k5-n1,2000000,200000,150000,5,1,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,2200000,true,valid,50000,100000,0
dep0.100-col0.75-k5-n3,2000000,200000,150000,5,3,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,2600000,true,valid,50000,100000,0
dep0.100-col0.75-k5-n5,2000000,200000,150000,5,5,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,3000000,true,valid,50000,100000,0
dep0.100-col0.75-k5-n7,2000000,200000,150000,5,7,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,3400000,true,valid,50000,100000,0
dep0.100-col0.75-k7-n1,2000000,200000,150000,7,1,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,2200000,true,valid,50000,116666,0
dep0.100-col0.75-k7-n3,2000000,200000,150000,7,3,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,2600000,true,valid,50000,116666,0
dep0.100-col0.75-k7-n5,2000000,200000,150000,7,5,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,3000000,true,valid,50000,116666,0
dep0.100-col0.75-k7-n7,2000000,200000,150000,7,7,2050000,2050000,2050000,2050000,2050000,2200000,1000,0,-1000,3400000,true,valid,50000,116666,0
dep0.100-col1.00-k3-n1,2000000,200000,200000,3,1,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,2200000,true,valid,0,100000,0
dep0.100-col1.00-k3-n3,2000000,200000,200000,3,3,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,2600000,true,valid,0,100000,0
dep0.100-col1.00-k3-n5,2000000,200000,200000,3,5,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,3000000,true,valid,0,100000,0
dep0.100-col1.00-k3-n7,2000000,200000,200000,3,7,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,3400000,true,valid,0,100000,0
dep0.100-col1.00-k5-n1,2000000,200000,200000,5,1,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,2200000,true,valid,0,150000,0
dep0.100-col1.00-k5-n3,2000000,200000,200000,5,3,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,2600000,true,valid,0,150000,0
dep0.100-col1.00-k5-n5,2000000,200000,200000,5,5,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,3000000,true,valid,0,150000,0
dep0.100-col1.00-k5-n7,2000000,200000,200000,5,7,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,3400000,true,valid,0,150000,0
dep0.100-col1.00-k7-n1,2000000,200000,200000,7,1,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,2200000,true,valid,0,166666,0
dep0.100-col1.00-k7-n3,2000000,200000,200000,7,3,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,2600000,true,valid,0,166666,0
dep0.100-col1.00-k7-n5,2000000,200000,200000,7,5,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,3000000,true,valid,0,166666,0
dep0.100-col1.00-k7-n7,2000000,200000,200000,7,7,2000000,2000000,2000000,2000000,2000000,2200000,1000,0,-1000,3400000,true,valid,0,166666,0
